TEAM,COLOR,LOGO,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
JETS,NYJ,https://a.espncdn.com/combiner/i?img=/i/teamlogos/nfl/500/nyj.png,0,6,14,27,37,41,47,54,58,65,68,71,74,82,90,94,104,112,119,126,137,148,154,162,166,172,180,184,192,198,201,202,211,224,232,241,251,261,267,278,282,292,296,305,316,329,337,343,351,355,365,370,375,379
SAINTS,NOR,https://a.espncdn.com/combiner/i?img=/i/teamlogos/nfl/500/no.png,0,0,3,7,12,14,18,20,25,30,32,36,39,46,54,55,59,63,71,78,83,90,102,112,121,129,140,152,160,167,174,177,183,189,192,203,210,219,227,235,238,249,256,264,280,291,305,312,324,331,338,345,357,371
FALCONS,ATL,https://a.espncdn.com/combiner/i?img=/i/teamlogos/nfl/500/atl.png,0,3,4,6,12,16,23,30,39,42,46,50,57,67,73,85,92,97,104,108,112,119,122,127,130,135,146,152,158,165,174,177,184,200,205,209,216,226,231,243,251,258,262,273,282,295,305,319,323,329,337,350,361,368
BENGALS,CIN,https://a.espncdn.com/combiner/i?img=/i/teamlogos/nfl/500/cin.png,0,0,0,3,7,15,19,27,37,44,55,65,73,77,81,87,101,108,115,123,130,140,144,158,166,176,179,184,187,190,197,205,212,215,219,223,229,231,239,247,258,266,273,277,287,291,300,310,321,331,343,349,356,362
SEAHAWKS,SEA,https://a.espncdn.com/combiner/i?img=/i/teamlogos/nfl/500/sea.png,0,0,0,0,0,0,0,0,0,0,0,2,7,16,25,29,35,39,50,63,71,81,90,99,106,115,122,124,130,136,144,151,159,167,176,182,191,198,208,217,232,242,253,257,262,270,277,289,305,319,330,341,350,360
CARDINALS,ARI,https://a.espncdn.com/combiner/i?img=/i/teamlogos/nfl/500/ari.png,0,8,14,23,27,35,39,43,47,57,68,78,85,91,96,101,108,113,121,130,135,139,146,153,158,163,167,171,178,186,190,197,201,211,217,220,227,232,236,242,247,252,260,272,283,288,296,301,311,322,336,343,351,354
LIONS,DET,https://a.espncdn.com/combiner/i?img=/i/teamlogos/nfl/500/det.png,0,4,9,13,22,32,39,47,53,60,67,73,79,86,88,97,105,109,118,122,129,134,138,142,149,155,168,173,183,192,202,207,216,221,229,238,240,243,248,254,259,262,269,269,271,277,287,291,298,309,316,325,334,340
BROWNS,CLE,https://a.espncdn.com/combiner/i?img=/i/teamlogos/nfl/500/cle.png,0,9,18,29,40,47,56,66,73,77,80,89,95,103,112,123,128,132,141,146,154,167,178,188,198,201,207,214,221,233,238,238,238,238,240,243,250,259,264,268,274,278,288,292,297,302,306,311,315,322,325,326,326,333
BUCCANEERS,TAM,https://a.espncdn.com/combiner/i?img=/i/teamlogos/nfl/500/tb.png,0,0,0,0,0,0,0,0,0,0,0,0,2,7,18,23,32,37,39,45,47,49,53,58,63,69,72,77,82,88,95,101,112,120,132,142,151,166,173,178,189,193,202,211,214,224,228,235,239,241,247,256,261,266
RAVENS,BAL,https://a.espncdn.com/combiner/i?img=/i/teamlogos/nfl/500/bal.png,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,10,16,24,40,51,58,68,77,83,96,101,114,124,137,150,164,172,183,188,196,205,215
PANTHERS,CAR,https://a.espncdn.com/combiner/i?img=/i/teamlogos/nfl/500/car.png,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,20,27,31,39,46,47,54,68,75,88,96,103,115,123,125,131,138,150,158,175,181,192,199
JAGUARS,JAX,https://a.espncdn.com/combiner/i?img=/i/teamlogos/nfl/500/jax.png,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,15,26,38,53,60,66,72,77,86,98,106,118,123,130,138,143,145,149,152,157,160,172,177
TEXANS,HOU,https://a.espncdn.com/combiner/i?img=/i/teamlogos/nfl/500/hou.png,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,9,16,18,24,32,40,49,55,66,79,81,90,99,109,113,124
